id,geller_sku,major_item,type,stone_shape,stone_size,Karats,setting_sku,soldering_sku_per_post_or_back,stuller_sku,qty_to_order_of_stuller_sku,part_cost_note,JLRC_labor_torch,JLRC_labor_laser,picklist_item_if_needed,picklist_quantity_if_needed,picklist_stuller_if_needed,note,dependent_part_skus,comparative_percentage_to_sku,created_at,updated_at,deleted_at
1,40000,Pierced Earring Post & Backs installed-one pair,Regular Length,,,14ktyg,,90000,"[""1601:3058:S""]",2,,,,,2,"[""1912:3073:S""]",0,0,0,,,
2,40001,Pierced Earring Post & Backs installed-one pair,Regular Length,,,14kwg,,90000,"[""1601:3057:S""]",2,,,,,2,"[""1912:3072:S""]",0,0,0,,,
3,40002,Pierced Earring Post & Backs installed-one pair,Regular Length,,,18ktyg,,90005,"[""601:55069:S""]",2,,,,,2,"[""1912:39109:S""]",0,0,0,,,
4,40003,Pierced Earring Post & Backs installed-one pair,Regular Length,,,Silver,,90000,"[""1601:56538:S""]",2,,,,,2,"[""1912:3077:S""]",0,0,0,,,
5,40004,Pierced Earring Post & Backs installed-one pair,Regular Length,,,Platinum,,90010,"[""1601:240541:S""]",2,,,,,2,"[""1440:28706:S""]",0,0,0,,,
6,40005,Pierced Earring Post & Backs installed-one pair,Longer Length,,,14ktyg,,90000,"[""28350:100:S""]",2,,,,,2,"[""1912:3073:S""]",0,0,0,,,
7,40006,Pierced Earring Post & Backs installed-one pair,Longer Length,,,14ktwg,,90000,"[""28350:101:S""]",2,,,,,2,"[""912:3072:S""]",0,0,0,,,
8,40007,Pierced Earring Post & Backs installed-one pair,Longer Length,,,Platinum,,90005,"[""28350:103:S""]",2,,,,,2,"[""1440:28706:S""]",0,0,0,,,
9,40008,Pierced Earring Post & Backs installed-one pair,Longer Length,,,Silver,,90000,"[""28350:102:S""]",2,,,,,2,"[""1912:3077:S""]",0,0,0,,,
10,40009,Pierced Earring Post & Backs installed-one pair,Protektor Post & Back as a set,,,14ktyg,,90000,"[""22260:263319:S""]",2,,,,,,"[""""]",0,0,0,,,
11,40010,Pierced Earring Post & Backs installed-one pair,Protektor Post & Back as a set,,,14kwg,,90000,"[""22260:263331:S""]",2,,,,,,"[""""]",0,0,0,,,
